simulation_id,session_index,time,action,state,reward
0.0_s1_5,9,13,A_independent,s1,2
0.0_s1_5,9,14,A_independent,s1,2
0.0_s1_5,9,15,A_independent,s1,2
0.0_s1_5,9,16,A_independent,s1,2
0.0_s1_5,9,17,A_independent,s1,2
0.0_s1_5,9,18,A_independent,s1,2
0.0_s1_5,9,19,A_independent,s1,2
0.0_s1_5,9,20,A_independent,s1,2
0.0_s1_5,10,1,A_independent,s1,2
0.0_s1_5,10,2,A_independent,s1,2
0.0_s1_5,10,3,A_independent,s1,2
0.0_s1_5,10,4,A_independent,s1,2
0.0_s1_5,10,5,A_independent,s1,2
0.0_s1_5,10,6,A_independent,s1,2
0.0_s1_5,10,7,A_independent,s1,2
0.0_s1_5,10,8,A_independent,s1,2
0.0_s1_5,10,9,A_independent,s1,2
0.0_s1_5,10,10,A_independent,s1,2
0.0_s1_5,10,11,A_independent,s1,2
0.0_s1_5,10,12,A_independent,s1,2
0.0_s1_5,10,13,A_independent,s1,2
0.0_s1_5,10,14,A_independent,s1,2
0.0_s1_5,10,15,A_independent,s1,2
0.0_s1_5,10,16,A_independent,s1,2
0.0_s1_5,10,17,A_independent,s1,2
0.0_s1_5,10,18,A_independent,s1,2
0.0_s1_5,10,19,A_independent,s1,2
0.0_s1_5,10,20,A_independent,s1,2
0.0_s1_5,11,1,A_independent,s1,2
0.0_s1_5,11,2,A_independent,s1,2
0.0_s1_5,11,3,A_independent,s1,2
0.0_s1_5,11,4,A_independent,s1,2
0.0_s1_5,11,5,A_independent,s1,2
0.0_s1_5,11,6,A_independent,s1,2
0.0_s1_5,11,7,A_independent,s1,2
0.0_s1_5,11,8,A_independent,s1,2
0.0_s1_5,11,9,A_independent,s1,2
0.0_s1_5,11,10,A_independent,s1,2
0.0_s1_5,11,11,A_independent,s1,2
0.0_s1_5,11,12,A_independent,s1,2
0.0_s1_5,11,13,A_independent,s1,2
0.0_s1_5,11,14,A_independent,s1,2
0.0_s1_5,11,15,A_independent,s1,2
0.0_s1_5,11,16,A_independent,s1,2
0.0_s1_5,11,17,A_independent,s1,2
0.0_s1_5,11,18,A_independent,s1,2
0.0_s1_5,11,19,A_independent,s1,2
0.0_s1_5,11,20,A_independent,s1,2
0.0_s1_5,12,1,A_independent,s1,2
0.0_s1_5,12,2,A_independent,s1,2
0.0_s1_5,12,3,A_independent,s1,2
0.0_s1_5,12,4,A_independent,s1,2
0.0_s1_5,12,5,A_independent,s1,2
0.0_s1_5,12,6,A_independent,s1,2
0.0_s1_5,12,7,A_independent,s1,2
0.0_s1_5,12,8,A_independent,s1,2
0.0_s1_5,12,9,A_independent,s1,2
0.0_s1_5,12,10,A_independent,s1,2
0.0_s1_5,12,11,A_independent,s1,2
